id,vink_nr,vink_date,ground,street,city,result,season,kickoff,gate,ticket,countfor92,rating,club_id,away_club_id,user_id,created_at,updated_at,league_id,programme_link,ticket_link,latitude,longitude
2,3,2003-12-26 00:00:00,Griffin Park,Braemar Road. Brentford. Hounslow. United Kingdom,,1-2,2003-2004,12:00,5912,16.0,true,,47,29,1,2014-02-12 18:22:40.704855,2014-08-14 18:11:26.214559,3,,,51.4874292,-0.3023629
4,6,2004-03-20 00:00:00,Brisbane Road,Brisbane Road. Leyton. united kingdom,,0-2,2003-2004,15:00,3637,14.0,true,,55,92,1,2014-02-12 18:22:40.734674,2014-08-14 18:11:27.030605,4,,,51.5601899,-0.0127137
5,7,2004-04-17 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2003-2004,15:00,25206,25.0,false,,24,25,1,2014-02-12 18:22:40.749276,2014-08-14 18:11:27.358009,1,,,51.4869988,0.0338331
6,8,2004-09-25 00:00:00,Craven Cottage,Putney Bridge. London. United Kingdom,,1-0,2004-2005,15:00,19237,28.0,true,,7,44,1,2014-02-12 18:22:40.763323,2014-08-14 18:11:27.697629,1,,,51.4676979,-0.2120979
7,9,2004-09-10 00:00:00,Underhill,Westcombe Drive. Barnet. United Kingdom,,5-0,2004-2005,15:00,1894,12.0,true,,71,78,1,2014-02-12 18:22:40.778547,2014-08-14 18:11:28.189555,4,,,51.6471052,-0.1917215
8,10,2004-10-17 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2004-2005,16:05,26553,25.0,false,,24,11,1,2014-02-12 18:22:40.7926,2014-08-14 18:11:28.601639,1,,,51.4869988,0.0338331
9,11,2004-12-18 00:00:00,York Street,York Street. Boston. United Kingdom,,3-1,2004-2005,15:00,2428,13.0,false,,93,94,1,2014-02-12 18:22:40.806921,2014-08-14 18:11:28.873536,4,,,52.9767148,-0.017016
10,12,2005-01-29 00:00:00,Gay Meadow,Railway Lane. Shrewsbury. United Kingdom,,0-1,2004-2005,15:00,3884,12.0,true,,88,67,1,2014-02-12 18:22:40.820967,2014-08-14 18:11:29.292219,4,,,52.7079594,-2.7450465
11,13,2005-02-19 00:00:00,Adams Park,Hillbottom Road. High Wycombe. United Kingdom,,1-1,2004-2005,15:00,4326,14.0,true,,67,94,1,2014-02-12 18:22:40.834817,2014-08-14 18:11:29.706378,4,,,51.6312301,-0.7947092
12,14,2005-03-25 00:00:00,Kenilworth Road,Kenilworth Road. Luton. United Kingdom,,1-3,2004-2005,15:00,7548,21.0,false,,95,21,1,2014-02-12 18:22:40.849103,2014-08-14 18:11:30.261911,3,,,51.8844667,-0.4289792
13,16,2005-04-16 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-2,2004-2005,15:00,26708,25.0,false,,24,4,1,2014-02-12 18:22:40.863095,2014-08-14 18:11:30.621617,1,,,51.4869988,0.0338331
14,23,2005-10-07 00:00:00,Plainmoor,Marnham Road. Torquay. United Kingdom,,0-0,2005-2006,19:45,2965,14.0,true,,91,71,1,2014-02-12 18:22:40.876892,2014-08-14 18:11:30.970078,4,,,50.4765553,-3.5251228
16,19,2005-08-13 00:00:00,Brunton Park,Thirlwell Gardens. Carlisle. United Kingdom,,1-3,2005-2006,15:00,6650,16.0,true,,49,71,1,2014-02-12 18:22:40.905396,2014-08-14 18:11:31.644326,4,,,54.8949509,-2.9116577
17,17,2005-04-30 00:00:00,Highfield Road,Highfield Road. Coventry. United Kingdom,,6-2,2004-2005,15:00,22728,22.0,true,,31,33,1,2014-02-12 18:22:40.919896,2014-08-14 18:11:31.946478,2,,,52.4135006,-1.4902425
18,20,2005-08-20 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-0,2005-2006,15:00,23453,25.0,false,,24,19,1,2014-02-12 18:22:40.933826,2014-08-14 18:11:32.269166,1,,,51.4869988,0.0338331
19,21,2005-09-03 00:00:00,Victoria Road,Victoria Road. Dagenham. United Kingdom,,2-2,2005-2006,12:00,1372,10.0,true,,78,52,1,2014-02-12 18:22:40.99153,2014-08-14 18:11:32.526199,4,,,51.5473264,0.16139
20,22,2005-09-17 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-2,2005-2006,15:00,27111,351.0,false,,24,5,1,2014-02-12 18:22:41.007703,2014-08-14 18:11:32.823061,1,,,51.4869988,0.0338331
21,26,2005-11-05 00:00:00,London Road,London Road. Peterborough. United Kingdom,,0-0,2005-2006,15:00,3856,13.0,true,,42,74,1,2014-02-12 18:22:41.022909,2014-08-14 18:11:33.081654,8,,,52.5330309,-0.2604155
22,27,2005-12-17 00:00:00,Ninian Park,Sloper Road. Cardiff. United Kingdom,,0-0,2005-2006,15:00,12500,15.0,true,,30,33,1,2014-02-12 18:22:41.036701,2014-08-14 18:11:33.389319,2,,,51.4695141,-3.1956644
23,28,2005-12-18 00:00:00,Park View Road,Park View Road. Welling. United Kingdom,,3-1,2005-2006,15:00,415,9.0,false,,96,97,1,2014-02-12 18:22:41.05164,2014-08-14 18:11:33.622644,9,,,51.460581,0.1189181
24,29,2005-12-26 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-1,2005-2006,12:45,27111,20.0,false,,24,1,1,2014-02-12 18:22:41.065546,2014-08-14 18:11:34.011671,1,,,51.4869988,0.0338331
26,31,2006-01-22 00:00:00,Stamford Bridge,Britannia Road. London. United Kingdom,,1-1,2005-2006,12:45,41355,45.0,true,,5,24,1,2014-02-12 18:22:41.093212,2014-08-14 18:11:34.710635,1,,,51.6219417,-0.1754692
27,33,2006-02-14 00:00:00,Selhurst Park,Whitehorse Lane. Croydon. United Kingdom,,2-1,2005-2006,20:00,17550,32.0,true,,32,13,1,2014-02-12 18:22:41.107165,2014-08-14 18:11:35.092708,2,,,51.4001237,-0.0859502
28,34,2006-02-18 00:00:00,Hillsborough,Leppings Lane. Sheffield. United Kingdom,,1-2,2005-2006,15:00,33439,17.0,true,,63,62,1,2014-02-12 18:22:41.12087,2014-08-14 18:11:35.475716,2,,,53.41313,-1.5029213
29,36,2006-03-11 00:00:00,Blundell Park,Imperial Avenue. Cleethorpes. United Kingdom,,3-0,2005-2006,15:00,5147,15.0,true,,99,71,1,2014-02-12 18:22:41.13462,2014-08-14 18:11:35.900315,3,,,53.5695984,-0.0476702
30,37,2006-03-18 00:00:00,Highbury,Avenell Road. Highbury. London. United Kingdom,,3-0,2005-2006,15:00,38223,35.0,false,,1,24,1,2014-02-12 18:22:41.149352,2014-08-14 18:11:36.227223,1,,,51.5578429,-0.1018076
31,38,2006-04-08 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-0,2005-2006,15:00,26954,20.0,false,,24,6,1,2014-02-12 18:22:41.163739,2014-08-14 18:11:36.450495,1,,,51.4869988,0.0338331
32,39,2006-04-15 00:00:00,Boundary Park,Boundary Park Road. Oldham. United Kingdom,,0-3,2005-2006,15:00,7772,20.0,true,,58,21,1,2014-02-12 18:22:41.177734,2014-08-14 18:11:36.565187,3,,,53.554049,-2.1305402
33,40,2006-04-16 00:00:00,Villa Park,Nelson Road. Birmingham. United Kingdom,,3-1,2005-2006,12:00,40158,35.0,true,,2,25,1,2014-02-12 18:22:41.191724,2014-08-14 18:11:36.886961,1,,,52.5110779,-1.8890078
35,42,2006-05-06 00:00:00,Nene Park,Diamond Way. Irthlingborough. United Kingdom,,1-2,2005-2006,15:00,4174,15.0,false,,100,71,1,2014-02-12 18:22:41.219706,2014-08-14 18:11:37.608156,4,,,52.3278044,-0.6011455
36,71,2007-08-13 00:00:00,Ewen Fields,Miles Street. Hyde. United Kingdom,,6-3,2007-2008,19:45,370,10.0,false,,108,109,1,2014-02-12 18:22:41.233564,2014-08-14 18:11:38.052442,6,,,53.4507112,-2.0662131
37,79,2007-10-06 00:00:00,Stonebridge Rooad,Stonebridge Road. Northfleet. United Kingdom,,2-1,2007-2008,15:00,1368,10.0,false,,111,91,1,2014-02-12 18:22:41.24793,2014-08-14 18:11:38.370191,5,,,51.4480025,0.3229935
38,46,2006-08-23 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-3,2006-2007,19:45,25422,25.0,false,,24,10,1,2014-02-12 18:22:41.261554,2014-08-14 18:11:38.779496,1,,,51.4869988,0.0338331
39,48,2006-09-23 00:00:00,Turf Moor,Harry Potts Way. Burnley. United Kingdom,,2-3,2006-2007,15:00,13051,17.0,true,,28,43,1,2014-02-12 18:22:41.275195,2014-08-14 18:11:39.23006,2,,,53.7888068,-2.2329912
40,49,2006-09-24 00:00:00,Racecourse Ground,Lilac Way. Wrexham. United Kingdom,,2-3,2006-2007,12:00,4705,17.0,false,,103,80,1,2014-02-12 18:22:41.289197,2014-08-14 18:11:39.56226,4,,,53.0507842,-3.0062558
41,50,2006-10-14 00:00:00,Ashton Gate,Raynes Road. Bristol. United Kingdom,,2-1,2006-2007,15:00,11899,19.0,true,,29,77,1,2014-02-12 18:22:41.303106,2014-08-14 18:11:39.936221,3,,,51.4394175,-2.6182233
42,52,2006-11-18 00:00:00,St. Andrews,Emmeline Street. Birmingham. United Kingdom,,1-1,2006-2007,12:00,22256,30.0,true,,25,20,1,2014-02-12 18:22:41.317172,2014-08-14 18:11:40.325899,2,,,52.4756455,-1.8700279
43,54,2006-11-19 00:00:00,Portman Road,Portman Road. Ipswich. United Kingdom,,3-1,2006-2007,11:30,27276,22.0,true,,36,12,1,2014-02-12 18:22:41.331175,2014-08-14 18:11:40.654248,2,,,52.0569658,1.1460533
45,83,2007-12-21 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2007-2008,15:00,22040,17.0,false,,24,35,1,2014-02-12 18:22:41.358656,2014-08-14 18:11:41.450578,2,,,51.4869988,0.0338331
46,69,2007-04-21 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2006-2007,15:00,27111,17.0,false,,24,62,1,2014-02-12 18:22:41.372296,2014-08-14 18:11:41.689961,1,,,51.4869988,0.0338331
48,58,2006-12-23 00:00:00,Belle Vue,Belle Vue Way. Doncaster. United Kingdom,,1-0,2006-2007,15:00,8923,15.0,true,,34,41,1,2014-02-12 18:22:41.400004,2014-08-14 18:11:42.128219,1,,,53.5173359,-1.1022002
49,64,2007-03-17 00:00:00,Ewood Park,Velvet Street. Blackburn. United Kingdom,,1-2,2006-2007,17:15,18591,20.0,true,,3,46,1,2014-02-12 18:22:41.413665,2014-08-14 18:11:42.42314,1,,,53.7277647,-2.4901721
50,63,2007-03-17 00:00:00,Crown Ground,Livingstone Road. Accrington. United Kingdom,,1-0,2006-2007,15:00,4004,15.0,true,,23,91,1,2014-02-12 18:22:41.42729,2014-08-14 18:11:42.647561,1,,,53.7644874,-2.3696772
51,62,2007-03-11 00:00:00,Molineux,Waterloo Road. Wolverhampton. United Kingdom,,1-0,2006-2007,12:00,28016,27.0,true,,20,18,1,2014-02-12 18:22:41.44099,2014-08-14 18:11:42.831691,2,,,52.5886846,-2.1328044
52,82,2007-11-04 00:00:00,Carrow Road,Carrow Road. Norwich. United Kingdom,,2-2,2007-2008,12:45,25461,25.0,true,,12,36,1,2014-02-12 18:22:41.455179,2014-08-14 18:11:43.017667,2,,,52.6227255,1.3117356
55,60,2007-03-10 00:00:00,Galpharm Stadium,Stadium Way. Huddersfield. United Kingdom,,2-0,2006-2007,12:00,14772,16.0,true,,54,72,1,2014-02-12 18:22:41.497244,2014-08-14 18:11:43.441421,2,,,53.6528916,-1.771399
56,74,2007-08-16 00:00:00,Millmoor,Millmoor Lane. Rotherham. United Kingdom,,1-3,2007-2008,19:45,5302,16.0,true,,87,63,1,2014-02-12 18:22:41.510848,2014-08-14 18:11:43.646002,14,,,53.4286205,-1.3694179
57,81,2007-11-03 00:00:00,Whitdean,Tongdean Lane. Hove. United Kingdom,,3-1,2007-2008,15:00,5317,25.0,true,,27,95,1,2014-02-12 18:22:41.52485,2014-08-14 18:11:43.883422,3,,,50.854044,-0.1621733
58,47,2006-09-16 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-1,2006-2007,12:45,26130,17.0,false,,24,43,1,2014-02-12 18:22:41.538591,2014-08-14 18:11:44.158217,1,,,51.4869988,0.0338331
59,65,2007-03-18 00:00:00,The Hawthorns,Halfords Lane. West Bromwich. United Kingdom,,1-1,2006-2007,11:30,21434,24.0,false,,18,25,1,2014-02-12 18:22:41.552522,2014-08-14 18:11:44.445744,1,,,52.5061688,-1.9660237
60,70,2007-08-11 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2007-2008,15:00,23151,14.0,false,,24,61,1,2014-02-12 18:22:41.566656,2014-08-14 18:11:44.74981,2,,,51.4869988,0.0338331
61,72,2007-08-14 00:00:00,Moss Rose,Belgrave Road. Macclesfield. United Kingdom,,0-1,2007-2008,19:45,3422,10.0,false,,81,37,1,2014-02-12 18:22:41.580577,2014-08-14 18:11:44.982262,14,,,53.2440507,-2.1308982
62,73,2007-08-15 00:00:00,Gresty Road,Gresty Road. Crewe. United Kingdom,,0-3,2007-2008,19:45,2862,15.0,true,,77,35,1,2014-02-12 18:22:41.594241,2014-08-14 18:11:45.268786,14,,,53.0854127,-2.4361627
64,78,2007-09-22 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,2-0,2007-2008,15:00,21918,17.0,false,,24,38,1,2014-02-12 18:22:41.621844,2014-08-14 18:11:45.68204,2,,,51.4869988,0.0338331
65,59,2007-02-24 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,4-0,2006-2007,15:00,27111,17.0,false,,24,46,1,2014-02-12 18:22:41.635569,2014-08-14 18:11:45.960542,1,,,51.4869988,0.0338331
66,57,2006-12-22 00:00:00,Meadow Lane,Meadow Lane. Nottingham. United Kingdom,,0-1,2006-2007,19:45,4106,16.0,true,,57,80,1,2014-02-12 18:22:41.649573,2014-08-14 18:11:46.133922,4,,,52.9426375,-1.1371598
67,44,2006-08-05 00:00:00,Deepdale,Hollins Road. Preston. United Kingdom,,0-0,2006-2007,15:00,15650,21.0,true,,59,63,1,2014-02-12 18:22:41.663373,2014-08-14 18:11:46.519531,2,,,53.7735202,-2.6888512
68,45,2006-08-06 00:00:00,Tynecastle,McLeod Street. Edinburgh. United Kingdom,,2-1,2006-2007,15:00,16822,25.0,false,,101,102,1,2014-02-12 18:22:41.677474,2014-08-14 18:11:46.747983,12,,,55.9410007,-3.2285208
69,55,2006-11-25 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2006-2007,12:45,26435,17.0,false,,24,6,1,2014-02-12 18:22:41.691463,2014-08-14 18:11:46.909214,1,,,51.4869988,0.0338331
70,66,2007-03-31 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-0,2006-2007,15:00,26500,17.0,false,,24,19,1,2014-02-12 18:22:41.705522,2014-08-14 18:11:47.187644,1,,,51.4869988,0.0338331
71,56,2006-12-16 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-3,2006-2007,12:45,27111,17.0,false,,24,8,1,2014-02-12 18:22:41.719678,2014-08-14 18:11:47.481839,1,,,51.4869988,0.0338331
72,114,2009-08-20 00:00:00,Goodison Park,Bullens Road. Liverpool. United Kingdom,,5-0,2009-2010,19:45,27433,20.0,false,,6,127,1,2014-02-12 18:22:41.733624,2014-08-14 18:11:47.782894,21,,,53.4763588,-2.8762288
74,110,2009-08-16 00:00:00,Greene King Stadium,Leicester Road. Hinckley. United Kingdom,,1-4,2009-2010,15:00,133,5.0,false,,124,123,1,2014-02-12 18:22:41.761698,2014-08-14 18:11:48.598179,8,,,52.5230478,-1.288651
75,109,2009-08-15 00:00:00,Brittannia Stadium,Dennis Viollet Avenue. Stoke-on-Trent. Verenigd Koninkrijk,,2-0,2009-2010,15:00,27385,25.0,true,,14,28,1,2014-02-12 18:22:41.775986,2014-08-14 18:11:48.892244,1,,,52.9860314,-2.1728142
76,121,2009-10-03 00:00:00,The Oval,Redcliffe Street. Belfast. United Kingdom,,1-1,2009-2010,15:00,2000,12.0,false,,132,133,1,2014-02-12 18:22:41.790001,2014-08-14 18:11:49.212489,24,,,54.602344,-5.8925896
77,120,2009-10-02 00:00:00,Tallaght Stadium,Whitestown Road. Dublin. Ierland,,1-0,2009-2010,19:45,6000,15.0,false,,130,131,1,2014-02-12 18:22:41.803655,2014-08-14 18:11:49.536959,23,,,53.2822103,-6.3799514
78,122,2009-10-17 00:00:00,The Valley,Floyd Road. SE7. London,,2-1,2009-2010,15:00,16991,13.0,false,,24,54,1,2014-02-12 18:22:41.817809,2014-08-14 18:11:49.817366,3,,,51.4869988,0.0338331
79,118,2009-09-05 00:00:00,The Valley,Floyd Road. SE7. London,,2-1,2009-2010,15:00,16399,13.0,false,,24,47,1,2014-02-12 18:22:41.831856,2014-08-14 18:11:50.114878,3,,,51.4869988,0.0338331
80,112,2009-08-18 00:00:00,Valley Parade,Burlington Street. Bradford. Verenigd Koninkrijk,,0-2,2009-2010,19:45,11242,20.0,true,,72,92,1,2014-02-12 18:22:41.846049,2014-08-14 18:11:50.436612,4,,,53.8043678,-1.7607698
81,126,2010-01-03 00:00:00,Celtic Park,Kinloch Street. Glasgow. Verenigd Koninkrijk,,1-1,2009-2010,12:30,58300,42.0,false,,102,138,1,2014-02-12 18:22:41.859736,2014-08-14 18:11:50.757736,12,,,55.8481873,-4.2050801
82,125,2010-01-02 00:00:00,St. Mirren Park,Greenhill Road. Paisley. United Kingdom,,1-0,2009-2010,15:00,4917,20.0,false,,136,137,1,2014-02-12 18:22:41.873736,2014-08-14 18:11:51.034725,12,,,55.8513233,-4.4430187
86,97,2008-09-07 00:00:00,Plainmoor,Westlands Lane. Torquay. United Kingdom,,2-1,2008-2009,14:00,1752,16.0,false,,91,119,1,2014-02-12 18:22:41.929268,2014-08-14 18:11:51.610739,5,,,50.4753822,-3.5251445
88,89,2008-08-09 00:00:00,Northolme,Northolme. Gainsborough. United Kingdom,,0-1,2008-2009,15:00,461,10.0,false,,114,115,1,2014-02-12 18:22:41.961321,2014-08-14 18:11:51.949791,6,,,53.4035785,-0.773068
89,86,2008-03-15 00:00:00,Borough Park,Borough Park. Workington. United Kingdom,,1-1,2007-2008,15,322,10.0,false,,112,113,1,2014-02-12 18:22:41.975274,2014-08-14 18:11:52.241906,6,,,54.6487162,-3.5510399
90,90,2008-08-10 00:00:00,City Ground,Colwick Road. West Bridgford. United Kingdom,,0-0,2008-2009,13:15,21571,27.0,true,,41,179,1,2014-02-12 18:22:41.989358,2014-08-14 18:11:52.558035,2,,,52.9389973,-1.1317304
91,93,2008-08-13 00:00:00,Ricoh Arena,Phoenix Way. Coventry. United Kingdom,,3-1,2008-2009,19:45,9293,12.0,false,,31,70,1,2014-02-12 18:22:42.003271,2014-08-14 18:11:52.965564,14,,,52.4442233,-1.4971735
92,94,2008-08-14 00:00:00,Bootham Crescent,Bootham Crescent. York. United Kingdom,,1-0,2008-2009,19:45,2603,18.0,true,,118,103,1,2014-02-12 18:22:42.017118,2014-08-14 18:11:53.3404,14,,,53.96878,-1.087901
87,91,2008-08-11 00:00:00,Alder Street,Alder Street. Atherton. United Kingdom,,0-1,2008-2009,19:45,103,5.0,false,,116,117,1,2014-02-12 18:22:41.94353,2014-08-14 18:11:53.599328,45,,,53.5240096,-2.485908
84,108,2009-04-11 00:00:00,Pennydarren Park,Park Terrace. Merthyr Tydfil. United Kingdom,,2-2,2008-2009,15:00,274,9.0,false,,121,122,1,2014-02-12 18:22:41.901675,2014-08-14 18:11:53.900744,45,,,51.7498178,-3.3782847
53,77,2007-09-15 00:00:00,Field Mill,Bishop Street,Mansfield,1-3,2007-2008,15:00,4548,16.0,false,7,110,50,1,2014-02-12 18:22:41.469349,2014-08-14 18:11:54.196209,4,,,53.138734,-1.1997975
93,115,2009-08-21 00:00:00,The Airfield,Bishops Court. Broughton. UK,,2-2,2009-2010,19:30,351,6.0,false,,128,129,1,2014-02-12 18:22:42.031197,2014-08-14 18:11:54.325373,22,,,53.168951,-2.9830173
95,100,2008-12-14 00:00:00,Fratton park,Specks Lane. Portsmouth. United Kingdom,,0-3,2008-2009,13:30,19413,34.0,true,,43,11,1,2014-02-12 18:22:42.060157,2014-08-14 18:11:54.833223,1,,,50.7964126,-1.0626025
96,106,2009-02-21 00:00:00,Loftus Road,Loftus Road. London. United Kingdom,,1-3,2008-2009,17:20,13904,25.0,false,,13,36,1,2014-02-12 18:22:42.074389,2014-08-14 18:11:55.204977,2,,,51.5081481,-0.2302921
98,107,2009-04-10 00:00:00,Memorial Stadium,Alton Road. Bristol. United Kingdom,,1-0,2008-2009,19:45,6666,17.0,false,,73,83,1,2014-02-12 18:22:42.103964,2014-08-14 18:11:55.723257,3,,,51.4856163,-2.5816756
99,101,2008-12-26 00:00:00,The Valley,Floyd Road. SE7. London,,2-2,2008-2009,13:00,21023,25.0,false,,24,13,1,2014-02-12 18:22:42.117906,2014-08-14 18:11:56.001825,2,,,51.4869988,0.0338331
100,98,2008-11-29 00:00:00,Riverside Stadium,Shepherdson Way. Middlesbrough. Verenigd Koninkrijk,,0-0,2008-2009,15:00,32160,32.0,true,,39,11,1,2014-02-12 18:22:42.131752,2014-08-14 18:11:56.241773,1,,,54.5769199,-1.2186025
101,87,2008-04-12 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2007-2008,15:00,26206,17.0,false,,24,44,1,2014-02-12 18:22:42.145701,2014-08-14 18:11:56.54859,2,,,51.4869988,0.0338331
